	x	y
1125	what's the weather like in downtown chicago	location
1126	okay, will you find out if there will be a blizzard there anytime in the next 7 days?	date&location&weather_attribute
1127	when is my doctor's appointment	event
1128	where can i get groceries?	poi_type
1129	is it within 5 miles, by chance?	distance
1130	find me a hotel nearby	poi_type
1131	tell me the one that i can get to the quickest	distance
1132	where can i get pizza?	poi_type
1133	is there any within 2 miles?	distance&poi_type
1134	what time is the doctor's appointment	event
1135	set a reminder for my football activity at 3pm this tuesday, with mother. 	date&event&party&time
1136	where is the nearest hotel	distance&poi
1137	where is the closest and fastest route to a rest stop?	distance&poi&traffic_info
1138	will it drizzle in los angeles today?	date&location&weather_attribute
1139	is it supposed to snow today	date&weather_attribute
1140	i would like to know about manhattan please. 	location
1141	will it be windy tomorrow in atherton?	date&location&weather_attribute
1142	i'd like a chinese restaurant	poi_type
1143	is that the only chinese spot you have listed?	poi_type
1144	give me the address and the fastest route there with no traffic	distance&traffic_info
1145	car i'm desiring pizza: pick a pizza restaurant with least traffic on our way!	poi_type&traffic_info
1146	what time is my dentist appointment and who is going?	event
1147	what is the date and time of the conference	date&event&time
1148	find me a pizza place within 3 miles and avoid all heavy traffic	distance&poi_type&traffic_info
1149	schedule a football activity with jon for the 29th at 6pm.	date&event&party&time
1150	where is the closest shopping center?	distance&poi_type
1151	set gps for fastest route.	distance
1152	there will be any hail in danville during the week?	date&location&weather_attribute
1153	what is the temperature going to be like this week	date&weather_attribute
1154	boston next week.	date&location
1155	schedule a dinner at 6pm, on the 15th of this month, with my sister	agenda&date&event&party&time
1156	will it hail in oakland	location&weather_attribute
1157	are there clear skies in the forecast today	date&weather_attribute
1158	brentwood, please.	date&location&weather_attribute
1159	find a coffee place	poi_type
1160	next week in san mateo will there be any frost?	date&location&weather_attribute
1161	what will the highest temperature be in menlo park on tuesday?	date&location&weather_attribute
1162	what is the chance of rain next week	date&weather_attribute
1163	will it rain in alhambra?	location&weather_attribute
1164	does the forecast call for snow today	date&weather_attribute
1165	when is the meeting, what is the agenda and who are attending?	event
1166	is it going to rain sometime this week	date&weather_attribute
1167	redwood city, please.	location
1168	what is the current temperature	date&weather_attribute
1169	compton, please!	date&location
1170	are there any chinese places i can get to with no traffic within 5 miles of here?	distance&poi&traffic_info
1171	thank you car, let's go there!	address&distance&poi&poi_type
1172	look at today and tomorrow and tell me if there will be any snow in san francisco	date&location&weather_attribute
1173	what is the date and time of the conference	event
1174	what is the time and date of my doctor appointment.	event
1175	car i need a hotel to get some sleep: is there any in the local area?	distance&poi_type
1176	set gps for the fastest route please.	distance
1177	where is a near rest stop?	distance&poi_type
1178	keen, what is the address?	poi
1179	set a reminder for a conference with the vice president next wednesday at 10 am.	date&event&party&time
1180	i need to find the closest hospital. 	distance&poi_type
1181	is the weather overcast in grand rapids now?	date&location&weather_attribute
1182	where is the nearest pizza place?	distance&poi_type
1183	yes, please, and pick the quickest route to get there too	distance&poi
1184	give me the full weekly weather forecast	date
1185	will it rain in boston next week?	date&location&weather_attribute
1186	what's the weather going to be like today	date
1187	will it be humid in fresno?	date&location&weather_attribute
1188	is that route without traffic?	traffic_info
1189	what is the weather today	date
1190	will it rain in new york today?	date&location&weather_attribute
1191	find me chinese restaurants within 3 miles of my current location	distance&poi_type
1192	yes but provide me with the quickest route please.	distance
1193	set an alarm for the football game	event
1194	what time and date is my next yoga activity?	event
1195	i need to see the dentist this month the 6th at 7pm with jon. 	date&event&party&time
1196	what's the route to my friends house within 4 miles?	distance&poi_type
1197	yes please.	poi
1198	then pick the route with the shortest distance and let's go there!	address&distance&poi&poi_type
1199	give me directions to some nearby hotels	distance&poi_type
1200	yes please.	poi
1201	when is my next yoga class	event
1202	boston	location
1203	the next 7 days	date
1204	remind me about the conference tomorrow at 12 pm in conference room 100	date&event&room&time
1205	what will the temperature be this weekend	weather_attribute
1206	san jose, whats the temperature this week?	date&location&weather_attribute
1207	will it be misty in redwood city during the upcoming seven day period?	date&location&weather_attribute
1208	where can i go to eat	poi_type
1209	i'd like pizza! which pizzeria is the closest one?	distance&poi_type
1210	can you show me a quick route to reach there?	address&distance&poi&poi_type&traffic_info
1211	find the nearest parking garage	poi_type
1212	please send me its address on screen and pick a route with no traffic, thank you!	poi&traffic_info
1213	please set gps for route with no traffic.	traffic_info
1214	take me to the nearest starbucks	distance&poi
1215	what is the address of philz?	poi
1216	which of the two are closest?	distance
1217	when is yoga? who's going to be there?	event
1218	where is a nearby parking garage?	distance&poi_type
1219	find me a gas station that is within 3 miles please.	distance&poi_type
1220	i need to know if brentwood is going to be overcast on monday please. 	date&location&weather_attribute
1221	what will the weather be like tomorrow	date
1222	i want to know if it will be humid in compton tomorrow	date&location&weather_attribute
1223	will it be foggy in menlo park in the next two days?	date&location&weather_attribute
1224	what time is my next lab appointment and who will be attending it with me?	event
1225	will there be and dew this week in inglewood?	date&location&weather_attribute
1226	are we going to have clear skies in san francisco on sunday?	date&location&weather_attribute
1227	what is the temperature	weather_attribute
1228	grand rapids, please. which one will be the temperature on sunday?	date&location&weather_attribute
1229	what date is my yoga activity and who is attending? 	event
1230	give me the weather for next week	date
1231	will it be foggy in new york next week?	date&location&weather_attribute
1232	schedule a dentist appointment at 3 pm on the 11th of this month with father. 	date&event&party&time
1233	where's the nearest place to get lunch	distance&poi_type
1234	can i have the address?	address
1235	thank you car, please send me the address with the quickest route on screen	poi
1236	in new york will it be foggy this week?	date&location&weather_attribute
1237	what is the weather forecast in the city	location
1238	i'm going to corona	location
1239	i need the forecast for the whole week if possible.	date&location
1240	what is the weather for today	date
1241	i want to know if it is raining in seattle today	date&location&weather_attribute
1242	get me the address to my nearest friend's house.	distance&poi_type
1243	please give me the address and directions via the quickest route to a coffee or tea place within 2 miles of here. 	distance&poi_type&traffic_info
1244	ok, please direct me via the quickest route available. 	distance&poi&poi_type&traffic_info
1245	on sunday in exeter will it be overcast?	date&location&weather_attribute
1246	find my friend's current address please.	poi_type
1247	please send me on screen the fastest route to reach her!	distance
1248	when and where is my meeting	event
1249	will the weather be warm tomorrow in los angeles?	date&location&weather_attribute
1250	set a reminder for lab work on the 12th	date&event
1251	set the time as 7 pm	time
1252	i need to get groceries.	poi_type
1253	would you give me directions to the grocery store closest or located via the quickest route?	distance&poi_type
1254	find me somewhere to park	poi_type
1255	is that the quickest route?	poi&poi_type&traffic_info
1256	get me the weather forecast for the next 7 days	date
1257	inglewood	location
1258	what date is my optometrist appointment on and who will be attending? 	event
1259	what is the chance of rain next week	date&weather_attribute
1260	carson.	location
1261	please get me to a gas station asap. 	poi_type&traffic_info
1262	give me the quickest route there. 	address&poi&poi_type&traffic_info
1263	add tomorrow night's football game to my calendar for 9 pm	date&event&time
1264	navigate to the nearest hotel	distance&poi_type
1265	can i have the address of hotel keen?	poi
1266	set a reminder about the meeting at 4 pm this week with the sales team, to discuss the company picnic	agenda&event&party&time
1267	tell me if there will be frost in cleveland the next 7 days?	date&location&weather_attribute
1268	what is the date and time for dinner?	event
1269	the soonest one please. 	event
1270	please set a reminder for an optometrist appointment later this week at 5pm with marie.	date&event&party&time
1271	find my home address for me car.	poi&poi_type
1272	yes, please, and pick the quickest route for me	traffic_info
1273	please give me the address and directions via a quick route to my friend's house. 	distance&poi_type
1274	pick a quick route to reach there please!	distance
1275	is it stormy in manhattan now?	date&location&weather_attribute
1276	will it be warm in menlo park this saturday?	date&location&weather_attribute
1277	get me the address to the hospital asap.	poi_type
1278	car i wanna go back home, please pick the fastest route!	poi&poi_type&traffic_info
1279	what's the weather like today and tomorrow	date
1280	will it be clear in alameda?	date&location&weather_attribute
1281	what is the current temperature	date&weather_attribute
1282	manhattan	date&location&weather_attribute
1283	where's the nearest place to get a hot cup of tea	distance&poi_type
1284	how's the traffic?	address&distance&poi&poi_type&traffic_info
1285	please show me the weekly weather report	weather_attribute
1286	i need the weather for compton.	location
1287	is it going to rain in the next 7 days	date&weather_attribute
1288	san jose.	location
1289	what's the weather going to be like for this week	date
1290	will it be windy in durham next week?	date&location&weather_attribute
1291	please give me all relevant information about my meeting. 	event
1292	i need to schedule a doctor appointment at 10 am. the 14th of august with alex. 	date&event&party&time
1293	what is the address of my house?	poi_type
1294	schedule a meeting. 	event
1295	at 10 am on thursday with management to discuss dress code	agenda&date&event&party&time
1296	find me a nearby parking garage or parking lot	distance&poi_type
1297	any parking garages with no traffic?	traffic_info
1298	then let's go there, thank you!	address&distance&poi&poi_type&traffic_info
1299	schedule a optometrist appointment with my aunt on tuesday august 8th at 10 am.	date&event&party&time
1300	i need to find a grocery store.	poi_type
1301	is it gonna be hot on saturday in los angeles?	date&location&weather_attribute
1302	search for nearby cafe	distance&poi
1303	yes with the quickest route please.	distance
1304	directions to the nearest coffee shop	distance&poi_type
1305	please find me directions to a nearby place i can get some coffee	distance&poi_type
1306	yes thanks and make sure to get me the quickest route please.	poi
1307	yes please. 	address&poi
1308	look at the seven day forecast and see if it will be hot in oakland	date&location&weather_attribute
1309	find a coffee shop near me please.	distance&poi_type
1310	what is the address?	address
1311	will it be warm in new york today and tomorrow?	date&location&weather_attribute
1312	what parties and am i attending and what are the dates	event
1313	what tennis activities are on my schedule, what are the dates, and who are they with?	event
1314	when should i take my medicine next	event
1315	please set a reminder for medication 	event
1316	navigate me to the nearest grocery store	distance&poi_type
1317	what's the weather forecast in new york	location
1318	monday: will it be warm?	date&weather_attribute
1319	remind me at 4pm next wednesday about my conference with the sales team.	date&event&party&time
1320	get me directions to the mall	poi_type
1321	yes, please, and avoid all heavy traffic if possible!	address&poi&poi_type&traffic_info
1322	how hot is it going to be this week	date&weather_attribute
1323	durham please	date&location&weather_attribute
1324	what's the quickest route to a pizza restaurant?	distance&poi_type
1325	which one is it the quickest to reach?	distance&poi_type&traffic_info
1326	let's go a pizza hut, please send the indications on my map!	distance&poi&poi_type
1327	is it going to snow in the next 7 days	date&weather_attribute
1328	in cleveland please, i need to know if it is going to snow in the next 7 days.	date&location&weather_attribute
1329	what time do the lab results come in	agenda
1330	put on my calendar that i need to get my lab results this thursday at 3:30	agenda&date&event&time
1331	will it rain in fresno over the next seven days	date&location&weather_attribute
1332	how many hotels are around here	distance&poi_type
1333	okay, where is the westin?	distance&poi&poi_type&traffic_info
1334	is there a quick route to reach it?	distance
1335	what time is the football game and who will be there?	event
1336	give me the time for my next doctor's appointment	event
1337	what day is the doctor's appointment?	date&event
1338	give me directions to the local coffee shop	distance&poi_type
1339	what is the date of my next tennis activity and who will be attending?	event
1340	how is the climate on friday	date&weather_attribute
1341	weather for danville	location
1342	find me a local hotel in my area.	poi_type
1343	which has less traffic?	poi_type&traffic_info
1344	what time is my optometrist appointment and who is attending?	event
1345	direct me to the nearest starbucks	poi
1346	then tell me about another coffee nearby here and pick the fastest route to reach	distance&poi_type&traffic_info
1347	get me directions to the nearest coffee shop	distance&poi_type
1348	yes, please, and also pick the route to avoid all heavy traffic	traffic_info
1349	what will the weather be like in the city	location
1350	the 7 day for fresno please.	date&location
1351	schedule a conference	event
1352	what's the temperature going to be like on friday	date
1353	menlo park.	location
1354	im looking for a shopping mall around here.	distance&poi_type
1355	set gps for the quickest route to get there.	distance
1356	is it gonna  drizzle in manhattan during the next seven days?	date&location&weather_attribute
1357	car there should be my friends house around here: do you see it on the map?	poi_type
1358	ok, please direct me there via a route that avoids all heavy traffic. 	address&distance&poi&poi_type&traffic_info
1359	what time is dinner and who is attending? 	event
1360	schedule a reminder for my tennis activity at 6pm, the tenth with father. 	date&event&party&time
1361	is it cloudy today	date&weather_attribute
1362	i want to know about cleveland. 	location
1363	is there any rain in the local forecast	weather_attribute
1364	grand rapids, its it going to rain on saturday?	date&location&weather_attribute
1365	what is the date time and location of my next conference	event&room
1366	what's the temperature in carson going to be on tuesday?	date&location
1367	is it going to snow next week	date&weather_attribute
1368	cleveland, please	location
1369	will it be foggy in downtown chicago on tuesday?	date&location&weather_attribute
1370	i'm taking medicine on the 1st	date&event
1371	car, schedule a conference at 1pm today with the infrastructure team. 	date&event&party&time
1372	will there be frost in san francisco this week?	date&location&weather_attribute
1373	where is the nearest chinese restaurant?	distance&poi_type
1374	yes, please give me directions via a quick route. 	distance&poi
1375	what's the weekly forecast	date
1376	is it going to be dry in san jose this week?	date&location&weather_attribute
1377	is tuesday the only day it will be dry?	date&weather_attribute
1378	i'd like to know if the weather will be hot in san jose during the next week	date&location&weather_attribute
1379	what time is my football activity and who is attending?	event
1380	find me the address of a shopping center.	poi_type
1381	will it be stormy in san mateo on sunday?	date&location&weather_attribute
1382	i have to go grocery shopping can you give me directions to the nearest grocery store	distance&poi_type
1383	yes and please tell me if there is any traffic	traffic_info
1384	where is there a coffee or tea place around. find me one that will get me there the quickest with the least traffic	distance&poi_type&traffic_info
1385	yes please tell me the route, traffic, and where it is.	poi
1386	what day is my next meeting we will it end and what are we going to do	event
1387	good day car, i would like to schedule a meeting at 9 am, next wednesday with management to discuss the merger. 	agenda&date&event&party&time
1388	car i need to get to my friends house, it should be within 4 miles from here	distance&poi_type
1389	set my navigation to jacks for the shortest route possible.	address&distance&poi&poi_type&traffic_info
1390	when is my tennis match?	event
1391	car i need a parking garage within 5 miles of my current position	distance&poi_type
1392	where is civic center garage, can i get there while avoiding all heavy traffic?	poi&traffic_info
1393	what's the forecast for today	date&weather_attribute
1394	inglewood, please. is it gonna be windy today?	date&location&weather_attribute
1395	please schedule a reminder for my doctor appointment at 11am on august 3rd with alex.	date&event&party&time
1396	navigate me to the nearest hotel	distance&poi
1397	i need a rest stop that is quick and near me.	distance&poi_type
1398	what is the forecast for this week	date&weather_attribute
1399	is it going to be hot this week? in los angeles?	date&location&weather_attribute
1400	set a reminder for a dentist appointment this month on the 11th at 11am, with tom.	date&event&party&time
1401	what's the forecast in brentwood for sunday?	date&location&weather_attribute
1402	what's the weather like in grand rapids	location
1403	if it will be misty over the next two days	date&location&weather_attribute
1404	i need a parking garage that is in the 2 mile range.	distance&poi_type
1405	directions to local cafe	distance&poi_type
1406	yes and please provide the quickest route.	distance
1407	please give me the address and directions via a quick route to my friend's house. 	poi&poi_type&traffic_info
1408	how is the weather in the city this weekend	date
1409	hi, what time and date is my swimming activity?	event
1410	check the next 48 hours and tell me if it's supposed to be stormy in san francisco	date&location&weather_attribute
1411	info for lab appointment	event
1412	is durham stormy right now?	date&location&weather_attribute
1413	what is the date of my next doctor appointment and who will be attending it with me?	event
1414	take me to the nearest shopping center	distance&poi_type
1415	schedule swimming. 	event
1416	on the 11th at 3 pm with tom.	date&event&party&time
1417	schedule a reminder about a doctor appointment with my mother at 11am on the 7th of this month.	date&event&party&time
1418	what is the date, agenda, and time of my next meeting.	event
1419	find me a nearby tea or coffee shop	distance&poi_type
1420	try to find a route to reach there with the shortest distance please!	distance
1421	will it be cloudy	weather_attribute
1422	in manhattan, will it be cloudy in the next 48 hours?	date&location&weather_attribute
1423	find what the temperature will be in downtown chicago this weekend.	date&location&weather_attribute
1424	does the forecast say it will snow	weather_attribute
1425	will it snow in seattle today?	date&location&weather_attribute
1426	where does my friend live?	poi_type
1427	i want to see kill, give me the address wirth directions and the fastest route	distance&poi
1428	will it be stormy in exeter on wednesday?	date&location&weather_attribute
1429	bring me to the nearest starbucks	distance&poi
1430	sure, pick the quickest route and bring me there please	distance
1431	yes, give me the address please.	poi
1432	when is my dentist appointment and who is coming?	event
1433	what day do i need to take my medicine and who will be there?	event
1434	take me to the closest starbucks	distance&poi
1435	yes, what else is there?	poi
1436	yes, please, and pick a route with no traffic	poi&traffic_info
1437	what is the date of my next medicine event and who will be attending?	event
1438	i have an eye doctors appointment on the 12th at 5 pm	date&event&time
1439	remind me about my optometrist appointment with jon at 2 pm at the end of march	date&event&party&time
1440	on what date is my doctor's appointment and who is going?	event
1441	set a reminder for my lab appointment at 2pm, this tuesday with father. 	date&event&party&time
1442	what is the temperature going to be like this week	date&weather_attribute
1443	danville!	location&weather_attribute
1444	car i need to get at my friends house near my current location, please send me their address on the screen	poi_type
1445	give me directions to the closest grocery store	distance&poi_type
1446	pick a quick route and let's go there, thank you car!	poi
1447	where can i get chinese food?	poi_type
1448	search for nearest fast food restaurants	distance&poi
1449	the pizza place, give me the quickest one that is nearby.	distance&poi&traffic_info
1450	please give me directions to the pizza place please. thank you. 	distance&poi&poi_type&traffic_info
1451	show me the weather for the next 7 days	date
1452	durham, will there be clear skies there during the next seven days?	date&location&weather_attribute
1453	set reminder to take my medicine on the 12th at 3 pm	date&event&time
1454	car, remind me to take my medicine at 2 pm, monday august 8th. i need you to add jeff to the parties involved. 	event&time
1455	what is the weather today and tomorrow	date
1456	will it be warm in durham today?	date&location&weather_attribute
1457	where is the house	poi_type
1458	please give me directions to a nearby parking garage parking lot	distance&poi_type
1459	please pick the route with the shortest distance, thank you!	distance&poi
1460	what is the forecast for today and tomorrow	date&weather_attribute
1461	i would like to know if it will be foggy in alhambra	location&weather_attribute
1462	what's the weather gonna be like on friday in corona?	date&location
1463	will it be foggy in redwood city on wednesday?	date&location&weather_attribute
1464	where can i go to eat	poi_type
1465	find me directions to the nearest hotel	distance&poi_type
1466	let me know if there will be snow and ice in the next week's forecast	date&weather_attribute
1467	new york	location
1468	could you tell me if there will be clear skies in carson on friday?	date&location&weather_attribute
1469	please give me an alternate route home	poi
1470	where can i get chinese food?	poi_type
1471	please pick a route to avoid all heavy traffic and let's go there, thank you	poi&traffic_info
1472	give me directions to the closest chinese food restaurant	distance&poi_type
1473	set gps for fastest route.	traffic_info
1474	remind me about my football activity with my father at 5 pm.	event&party&time
1475	set a reminder for my dentist appointment tomorrow at 9 am, with tom	date&event&party&time
1476	what time is my appointment today	event
1477	schedule a meeting today at 9 am with management to discuss the company picnic.	agenda&date&event&party&time
1478	remind me about the football activity at 4pm on the 13th with tom	date&event&party&time
1479	set my route to the closest mall	distance&poi_type
1480	schedule a lab appointment with my aunt for the 7th at 1pm.	date&event&party&time
1481	is the weather going to be dry in brentwood on wednesday?	date&location&weather_attribute
1482	ok, but will there be rain, or will it be dry? 	date&location&weather_attribute
1483	doctor's appointment at 10 am on monday august 8th	date&event&time
1484	what is the date and time of my next dentist appointment.	event
1485	schedule an appointment	event
1486	what time should i get my shot this afternoon	event
1487	what is the weather like in new york this week	date&location
1488	for the next 7 days please.	date
1489	i'd like to know where i can get some chinese takeout	poi
1490	yes please and make sure that i get the quickest route. 	distance&poi
1491	schedule a yoga activity with jon on wednesday at 1pm.	date&event&party&time
1492	take me to the closest mall	distance&poi
1493	on wednesday will there be dew in alhambra	date&location&weather_attribute
1494	set a reminder for an optometrist appointment at 4pm, august 3rd. make sure my aunt is there.	date&event&party&time
1495	which days will be cloudy this week	date&weather_attribute
1496	camarillo	location
1497	find out the time and parties attending for my yoga activity. 	event
1498	where can i find tea around me	distance&poi_type
1499	let's try teavana since it has no traffic. 	poi&traffic_info
1500	please set the gps to teavana.	poi
1501	who is going to yoga and when is it? 	event
1502	when is going to be the next yoga lesson? who will be coming with me?	event
1503	navigate home	poi_type
1504	please avoid all heavy traffic, thank you!	traffic_info
1505	will there be drizzle in oakland on sunday?	date&location&weather_attribute
1506	car is it going to snow today	date&weather_attribute
1507	i am in mountain view	location
1508	confirm meeting	event
1509	set a reminder for lab work on the 12th	date&event
1510	it is at 7 pm	time
1511	car i need a parking garage closest to my position: help me please!	distance&poi_type
1512	is that the closest one? if so send me the address as soon as possible.	distance
1513	is that the closest one with no traffic? if so, give me directions	distance&traffic_info
1514	plot the fastest route to webster garage with no traffic	poi&traffic_info
1515	i need a parking garage around here.	distance&poi_type
1516	which has the least traffic?	traffic_info
1517	is there a philz near?	poi
1518	what is the address for teavana?	address
1519	schedule a dentist appointment with my aunt on the 4th at 6pm.	date&event&party&time
1520	add the football game to my calendar	event
1521	i need information for my upcoming conference.	event
1522	find me a hotel nearby	distance&poi_type
1523	can i have the address of a rest stop?	poi_type
1524	i'm in need of coffee: is there any near my current location?	distance&poi_type
1525	which is closer?	distance
1526	let's try starbucks today. 	poi
1527	show the route to my friend's house	poi&poi_type
1528	tomorrow will there be frost in manhattan?	location&weather_attribute
1529	hi car, help me find out the location, parties attending, and time for my meeting, please. 	event
1530	what time is dinner and who is going?	event
1531	the one with alex.	event&party
1532	find me a parking garage around me. 	distance&poi_type
1533	ok, please give me directions to travel the shortest distance. 	distance&poi_type
1534	are there chinese restaurants nearby	distance&poi_type
1535	remind me to swim tomorrow	date&event
1536	i need a reminder for a yoga activity at 7 pm on thursday with jeff.	date&event&party&time
1537	will it be overcast in cleveland on sunday?	date&location&weather_attribute
1538	is it going to snow in the next week	date&weather_attribute
1539	danville, please	location
1540	when is my next dentist appointment	event
1541	can you please take me to a coffee house	poi_type
1542	that's is, please set the gps to go there, thank you!	poi
1543	give me directions to the nearest grocery store	distance&poi_type
1544	let's go to trader joes!	distance&poi&poi_type
1545	can you set my schedule for a dentist appointment at 10 am, the 15th of this month with jon?	date&event&party&time
1546	what's the weekly forecast for cleveland	date&location
1547	sorry, i might have misspoken. - i actually want to know what the lowest temperature will be in cleveland during the next week. 	date&location&weather_attribute
1548	is it cloudy in the next 7 days	date&weather_attribute
1549	fresno	location
1550	set a reminder for tennis next month on the 13th at 6pm with my aunt.	date&event&party&time
1551	car is there any shopping center nearby? please show me a quick route to reach too!	distance&poi_type&traffic_info
1552	set navigation for the quickest route possible.	distance
1553	add the football game to my calendar	event
1554	schedule dentist appointment	agenda&party
1555	10am wednesday morning	date&event&time
1556	please give me the address and directions via a route with no traffic to the nearest pizza restaurant. 	distance&poi_type&traffic_info
1557	schedule yoga with marie at 4pm on the 5th of this month	date&event&party&time
1558	update me on the weekly weather forecast for this week	date
1559	will it be hot in grand rapids this week?	date&location&weather_attribute
1560	locate any hospitals in the area.	poi_type
1561	does it have the least amount of traffic?	traffic_info
1562	i need you to remind me of my football activity at 3pm, saturday with ana. 	date&event&party&time
1563	set a schedule for dinner at 2pm, sunday with mother.	date&event&party&time
1564	car i need to go to a shopping center: is there any around me?	distance&poi_type
1565	what is the date and time of my next lab appointment.	event
1566	what is the date and time of my optometrist appointment?	event
1567	when is my optometrist appointment and who is attending?	event
1568	will it rain anytime in the next week	date&weather_attribute
1569	will it rain in san mateo next week?	date&location&weather_attribute
1570	will it be overcast today in grand rapids?	date&location&weather_attribute
1571	what is the weather going to be today and tomorrow	date
1572	grand rapids	location
1573	what is the weather like today and tomorrow	date
1574	san francisco, i'd like to know the lowest temperature today, please	date&location&weather_attribute
1575	give me directions to a coffee place	poi_type
1576	ok, please give me the address and directions via the fastest available route. 	traffic_info
1577	set a reminder for optometrist appointment on the 15th at 6pm with marie.	date&event&party&time
1578	remind me to watch football on sunday	date&event
1579	how hot is it going to be this week	date&weather_attribute
1580	i want to know if the weather will be hot in san jose this week.	date&location&weather_attribute
1581	car i desire to eat chinese today, please pick a restaurant within 5 miles and avoid all heavy traffic	distance&poi_type&traffic_info
1582	i need the quickest route to the hospital. 	distance&poi_type
1583	which is within 3 miles?	distance
1584	schedule a doctor appointment and my sister is coming along. 	event&party
1585	schedule it for 4pm today please. 	date&event&time
1586	which days are rain forecasted	weather_attribute
1587	alameda, tell me about right now	date&location&weather_attribute
1588	car i wanna get home: we should be within 4 miles from it, please pick the shortest distance	distance&poi&poi_type&traffic_info
1589	what's the temperature going to be this week	date&weather_attribute
1590	alhambra	date&location&weather_attribute
1591	will it be humid in san jose next week?	date&location&weather_attribute
1592	schedule reminder for tennis practice on the 12th of next month	date&event
1593	what day and time do i need to take my meds?	event
1594	will it rain anytime in the next week	date&weather_attribute
1595	grand rapids	location
1596	what date is the football game and who is attending? 	event
1597	when is my dentist appointment and who is attending?	event
1598	the one on friday.	date
1599	set a reminder to go to conference room 104 the meeting on the 12th	date&event&room
1600	car i need a parking garage!	poi_type
1601	please give me the address and directions via a route with no traffic to a rest stop within 2 miles. 	poi_type&traffic_info
1602	schedule a dentist appointment with jeff for next wednesday at 1pm.	date&event&party&time
1603	will it rain next week	date&weather_attribute
1604	exeter please.	location
1605	set a reminder for a swimming activity at 7 pm wednesday with my sister.	date&event&party&time
1606	what is the time and location of my next meeting and who will be attending?	event
1607	i need a reminder for taking my medicine on august 14th at 7 pm with brother. 	agenda&date&event&party&time
1608	find out if it's supposed to rain	weather_attribute
1609	camarillo, please, tomorrow's forecast	date&location
1610	find me a nearby shopping mall shopping center	distance&poi_type
1611	ok, please direct me there via a route with no traffic. 	traffic_info
1612	is there another shopping center nearby? if not, please set directions via the route with least traffic. 	traffic_info
1613	what time is my football activity and with who?	event
1614	set a reminder to see my dentist at 12 pm tomorrow	event&time
1615	on saturday in camarillo will it be cloudy?	date&location&weather_attribute
1616	show me directions to the nearest grocery store	distance&poi_type
1617	ok, please set that as the next destination. 	address
1618	ok, please give me directions to get there by the quickest way.	distance&poi&poi_type&traffic_info
1619	i am doing yoga with my brother wednesday	date&event&party
1620	yes, set a reminder for an hour before 11am.	time
1621	i need directions to a grocery store	poi
1622	i need the one with the quickest route that is within 3 miles of me please.	distance&traffic_info
1623	schedule an optometrist appointment at 2 pm with jon.	event&party&time
1624	monday sounds good.	date
1625	please give me directions to the nearest starbucks	distance&poi
1626	will it be foggy in brentwood on friday?	date&location&weather_attribute
1627	remind me to check for the laboratory results tomorrow	date&event
1628	please make an appointment on tuesday for me to see the doctor	date&event
1629	bring me to the nearest grocery store	distance&poi_type
1630	give me the address to safeway.	poi
1631	set the gps to the quickest route.	distance
1632	what is the weather for the next 7 days	date
1633	cleveland.	location
1634	i need a reminder for my doctor appointment on the 1st at 2 pm with ana. 	date&event&party&time
1635	schedule a meeting with the infrastructure team to go over budget on thursday at 5pm.	agenda&date&event&party&time
1636	how many hotels are around here	poi_type
1637	pick the one 2 miles away and let's go through the fastest route	distance
1638	what is the address to the comfort inn?	poi
1639	give me directions to the nearest parking garage	distance&poi_type
1640	where's the closest place to park	distance&poi_type
1641	when is my doctor's appointment?	event
1642	take me to the nearest hotel	distance&poi_type
1643	please direct me via a route with the least heavy traffic. 	traffic_info
1644	then let's go there through this route, thank you car!	distance&poi&poi_type&traffic_info
1645	what is the forecast for the city this week	date
1646	i'm in new york and i need to know if it will be foggy this week.	date&location&weather_attribute
1647	what is the weather like today	date
1648	the city is mountain view, tell me is it hot?	date&location&weather_attribute
1649	what time is my appointment today	event
1650	my lab appointment	event
1651	what time is my meeting	agenda&event
1652	please set a reminder for 1pm for meeting 	event&time
1653	yes please. 	date&event&time
1654	give me the date and time of my dentist appointment	event
1655	give me directions to the nearest place to get to eat	distance&poi_type
1656	yes, please, and mark on the map a quick route for me	distance&poi
1657	where can i get tea?	poi_type
1658	the closest one.	distance
1659	please pick the quickest route and let's go there!	address&distance&poi&poi_type
1660	how is the weather this week in inglewood?	date&location
1661	the whole week.	date
1662	what is the temperature going to be like this week	date&weather_attribute
1663	fresno please	location
1664	get my home address that is near my location,	distance&poi&poi_type
1665	is there a routh to my home without any traffic?	poi&traffic_info
1666	is there going to be hail in los angeles this weekend?	date&location&weather_attribute
1667	thanks.	date&location&weather_attribute
1668	what is the weather forecast for the upcoming week	date
1669	fresno	location
1670	schedule dinner with martha later this week at 11am.	event&party&time
1671	in boston is it currently misty?	date&location&weather_attribute
1672	take me to the nearest chinese restaurant	distance&poi_type
1673	what is the address of jing jing.	poi
1674	set gps for a route with no traffic please.	traffic_info
1675	yes that's fine. please set the gps. 	poi
1676	i need to find the fastest route to the nearest gas station. 	distance&poi
1677	yes sounds good. 	poi
1678	yes please. 	poi
1679	is it going to be raining this weekend	date&weather_attribute
1680	exeter please	location
1681	what is my address?	poi_type
1682	please remind me i'm going to a swimming party at 5 pm on july 7th with martha	date&event&party&time
1683	where is the parking garage in the area?	distance&poi_type
1684	looking at the weekly forecast will in snow in los angeles?	location&weather_attribute
1685	i need a gas station with the least amount of traffic.	poi_type&traffic_info
